Type, Number, Description, Latitude, LatitudeCoord, Longtitude, LongtitudeCoord, Latitude2, LatitudeCoord2, Longtitude2, LongtitudeCoord2
Real Estate; 3610; AAAA; N; 0,5809879447930998; E; 0,7845496267346255; S; 0,9556522084090512; E;0,6465609882500191 
Real Estate; 75672; Emerald Retreat Bayou; S; 0,4168669941874166; E; 0,25667728829242964; N; 0,34596329770436385; W;0,5336374468474716 
Lot;41059; Sapphire Park Place; N; 0,9390020933238272; W; 0,1015161473734485; N; 0,20126136904317027; E;0,07060990267638245 
Real Estate; 62179; Starry Waters Place; S; 0,6362640229871618; E; 0,24996731234077707; N; 0,5177517399009358; W;0,3566736470900106 
Real Estate; 61234; Willow Sanctuary Oasis; S; 0,43532414481240034; E; 0,6306141062021671; S; 0,6997933650648233; W;0,8431282132442024 
Real Estate; 6259; Golden Cliffside Estates; N; 0,9003307284686853; W; 0,5207990641752758; N; 0,47499622934393493; W;0,004227810739733551 
Real Estate; 95965; Fresh Vale Harbor; N; 0,8177539149672233; E; 0,9557730537237419; N; 0,2900945582815856; E;0,10089721320688705 
Real Estate; 9746; Majestic Pier Crossing; S; 0,8916858878040622; E; 0,014424362845775751; S; 0,9732022928840103; W;0,9163164291025446 
Real Estate; 19444; Snowy Terraces Lane; N; 0,5282677896494035; W; 0,598231215577211; N; 0,0812690323380082; W;0,8395207167841023 
Real Estate; 41662; Radiant Pond View; S; 0,6419184403831149; E; 0,7030514197894061; S; 0,13149278222325889; W;0,5700986775276922 
Real Estate; 96902; Breezy River Crescent; S; 0,13255450862248175; E; 0,6358427517532133; N; 0,6146311680537957; E;0,9147649742855827 
Real Estate; 61595; Oakwood Oaks Park; N; 0,8611363813079315; W; 0,4347180350365061; N; 0,7978590239309481; W;0,16100174604697015 
Real Estate; 24386; Peaceful Pines Crossing; N; 0,9183782331999699; W; 0,7254073565963906; S; 0,27388529638212045; W;0,12413244565754356 
Real Estate; 78888; Broadleaf Acreage Glade; N; 0,6056392781706925; E; 0,5765915725631754; N; 0,2453964643550569; E;0,3585713103142618 
Real Estate; 76238; Peaceful Summit Bay; N; 0,8849199224519108; E; 0,5474593627143772; S; 0,30717938934232514; E;0,923598830364317 
Real Estate; 37056; Hidden Arbor Bridge; S; 0,8366982909268212; W; 0,7289060369041644; N; 0,7393265015364955; E;0,6016398935459998 
Real Estate; 26963; Fresh Pathway Woods; S; 0,8449555887683019; E; 0,20461984005934775; S; 0,4812766706382233; E;0,486661273115194 
Real Estate; 70956; Hidden Bluff Bluffs; S; 0,45647676876379784; W; 0,8340299064157904; N; 0,5367217722614487; E;0,2850108913763595 
Real Estate; 35499; Autumn Overlook Crest; N; 0,3101664721675731; W; 0,3398672312645995; S; 0,9048234837938671; W;0,7913355174381298 
Real Estate; 42116; Crystal River Plaza; S; 0,9596635818629572; E; 0,3702466777314284; N; 0,6934136130464165; E;0,8695883816493171 
Real Estate; 2433; Azure Bluff Place; S; 0,7543174870261234; E; 0,9466482241601173; S; 0,45199490123861397; W;0,23422461261381589 
Real Estate; 43882; Quiet Mountain View; N; 0,18072510666583863; E; 0,6156765368122086; N; 0,8684921853311197; E;0,5591590408274328 
Real Estate; 41836; Open Forest Creek; N; 0,44543615010910587; E; 0,6489211763911242; S; 0,31914406703665243; W;0,9932191046206139 
Real Estate; 86534; Lush Forest Point; N; 0,810550046004749; W; 0,6034187650792915; S; 0,8361817226802155; W;0,3313023043604637 
Real Estate; 28864; Meadow Stream Plaza; N; 0,6332535611710872; W; 0,22174178752586882; N; 0,057834289112516646; W;0,09372212381969725 
Real Estate; 80061; Fresh Valleyview Enclave; N; 0,9856570904615345; W; 0,883081517825911; N; 0,3255098054269653; E;0,5526363039694193 
Real Estate; 11377; Wildflower Preserve Meadowlands; N; 0,9066551923706226; W; 0,4189299188433986; S; 0,67408031664354; E;0,9420274219872286 
Real Estate; 30520; Broadleaf Marsh Crest; N; 0,7178022584672153; E; 0,1765630321404057; N; 0,8657773174442485; E;0,13280362371809962 
Real Estate; 15457; Pristine Passage Ponds; N; 0,6857769303179742; E; 0,681591070275879; N; 0,4839568621164807; W;0,6507268093158769 
Real Estate; 13372; Quiet Bayou Estates; N; 0,8243432056805295; E; 0,4698117467967391; S; 0,8836725089873156; W;0,05954703240795911 
Real Estate; 17448; Blushing Plains Park; N; 0,9606905620187841; E; 0,6257222756859759; S; 0,8249104879278314; E;0,6031644889676867 
Real Estate; 55981; Forested Basin Harbor; S; 0,8523147824278947; W; 0,9856740626690021; S; 0,5412231100190261; W;0,3623826652830493 
Real Estate; 45694; Sunrise Field Lanes; S; 0,7078456139381644; W; 0,6483046833667017; N; 0,1616858636768128; E;0,39112993002172636 
Real Estate; 50642; Oakwood Orchards Crossing; S; 0,9139865895145532; E; 0,08626133830343552; N; 0,22307552275438047; E;0,4563371737850611 
Real Estate; 29711; Meadow Hollow Terrace; S; 0,8046759271779206; E; 0,033880306766370216; S; 0,16004090292883189; W;0,1366604606604569 
Real Estate; 75778; Velvet Acreage Vale; S; 0,473888065253526; W; 0,8989371982972867; N; 0,2925486565167832; E;0,26219212447217255 
Real Estate; 9313; Blooming Lagoon Terrace; S; 0,3073872846645095; W; 0,8616286870012893; N; 0,43796585054036563; W;0,23612487666858295 
Real Estate; 940; Open Forest Trails; S; 0,4799782502782567; E; 0,15993676120343125; S; 0,9386424312996138; W;0,6597256290957174 
Real Estate; 71340; Cozy Oaks Shire; N; 0,5336214661244749; E; 0,12249412308988761; S; 0,6804592160489986; W;0,33981244477797756 
Real Estate; 82537; Amber Plains Fields; S; 0,9880870540418404; E; 0,37126938453922487; N; 0,8776600937046934; E;0,6550571735511852 
Real Estate; 83806; Jade Wood Shores; S; 0,6360558128412456; E; 0,4198723543804005; S; 0,3973626826283033; W;0,18919128965958176 
Real Estate; 6608; Sapphire Cove Walk; S; 0,8096828476909874; E; 0,9916901187313358; N; 0,7869863951188156; E;0,9894438552006001 
Real Estate; 17760; Shady Lookout Isle; S; 0,5300864498262867; E; 0,9782747070774644; S; 0,5690940902145761; W;0,6455805386739044 
Real Estate; 23388; Open Grove Nook; N; 0,007927465745057094; E; 0,3124579099515623; S; 0,5410957643925602; E;0,6184040156728415 
Real Estate; 72053; Summer Mountain Meadows; N; 0,5177345155158849; E; 0,5808084756026911; N; 0,7137678617794724; E;0,5193545931527874 
Real Estate; 40172; Fresh Bridge Vale; S; 0,19556570768379078; E; 0,8479109582251638; S; 0,9947662886267877; E;0,326863157140424 
Real Estate; 69267; Rolling River Terrace; N; 0,5665689938738651; E; 0,8341205306918292; N; 0,2351227088783443; E;0,11659564644507137 
Real Estate; 10538; Velvet Terraces Ponds; N; 0,6061022964126267; W; 0,9083897192552427; S; 0,04482623923290752; E;0,9407964255836483 
Real Estate; 10241; Majestic Passage Ridge; N; 0,8879805704718869; W; 0,9678529434534174; S; 0,1403282867148955; W;0,27578720666652046 
Real Estate; 53915; Open Lagoon Bay; N; 0,5982619383080856; W; 0,3158943496146376; S; 0,6436962579983757; E;0,2295219591631522 
Real Estate; 5287; Mellow Hills Marsh; N; 0,7061844286558817; W; 0,2023903539519235; S; 0,3259157534281464; E;0,2829093615267533 
Real Estate; 14197; Forested Garden Terrace; N; 0,9007604738140556; W; 0,9857199490727168; S; 0,01202277123747697; E;0,5056237700059454 
Real Estate; 28763; Timbered Cliff Bluffs; N; 0,9925492281381137; W; 0,7280140566876554; S; 0,9201500276017038; W;0,8037201497816987 
Real Estate; 7031; Majestic Waters View; N; 0,9063337464722885; W; 0,4399506652913221; S; 0,6887303134186419; E;0,36810561597043645 
Real Estate; 30026; Starry Creek Enclave; N; 0,9328429255108948; W; 0,5226942640645407; S; 0,745645041813884; W;0,8292436550361552 
Real Estate; 87334; Sunny Woods Courts; N; 0,700253761098058; E; 0,36854415439523447; N; 0,27064609084213953; E;0,8004050057206006 
Real Estate; 9856; Brisk Cliffside Creek; N; 0,7350603755500731; E; 0,13383228215432252; S; 0,9431755348608352; E;0,2877350763205203 
Real Estate; 21920; Valley Harbour Bayou; N; 0,6722431569521307; E; 0,8066520845693592; S; 0,3653547553724267; E;0,07686971369270001 
Real Estate; 4230; Cozy Point Gateway; N; 0,7757844783938967; E; 0,8249658623290836; S; 0,08606140971174325; E;0,9635827552847716 
Real Estate; 62672; Tranquil Glade Plains; N; 0,8236623121233717; E; 0,04214294900781024; N; 0,1311367260113694; W;0,22976002415422347 
Real Estate; 3167; Brisk Woodland Isle; N; 0,8733990761369269; E; 0,29435018872803353; N; 0,8100383343124435; E;0,28922419627397367 
Real Estate; 89007; Wildflower Cliffside Bayou; N; 0,8438495420867443; E; 0,7445877258566613; N; 0,9575923540589031; E;0,7198129640873548 
Real Estate; 3412; Sunflower Palms Reserve; N; 0,9956416414683066; E; 0,7656961454992949; N; 0,7992981652224875; W;0,985558018988656 
Real Estate; 34915; Sparkling Bluff Preserve; S; 0,9311596451145926; W; 0,9895393557035772; S; 0,8494237337930335; W;0,06335037108085495 
Real Estate; 87015; Shady Ridge Flats; S; 0,9574463493392278; W; 0,37318153578158075; S; 0,28100808777508157; W;0,9391754297454665 
Real Estate; 74072; Serene Terraces Bridge; S; 0,6877664369540015; W; 0,8116772920417832; N; 0,5222402439724568; E;0,3912721058242583 
Real Estate; 26088; Amber Basin Knoll; S; 0,6925948172885451; W; 0,6251622029950632; S; 0,24917601237464782; E;0,4729546197519472 
Real Estate; 23706; Spring Summit Retreat; S; 0,9948284295820247; E; 0,05344495304222929; S; 0,7202016882465329; W;0,11214423065863621 
Real Estate; 23822; Towering Shire Fields; S; 0,8662867235119794; E; 0,12761706805099027; S; 0,22488086748957226; W;0,7940899167907354 
Real Estate; 73033; Crystal Timber Crossing; S; 0,7239226235747517; E; 0,018230856329176426; S; 0,11524684825784404; E;0,853808234283288 
Real Estate; 16690; Moonlit Vista Lane; S; 0,7043404906522025; E; 0,1249660586675082; S; 0,6809500149945636; W;0,10595932666623609 
Real Estate; 5017; Dappled Rapids Oasis; S; 0,4973144129327325; W; 0,9369699890953027; N; 0,8196782090328344; W;0,7532271782613461 
Real Estate; 33045; Sapphire Summit Park; S; 0,49204603513578116; W; 0,6590101852205992; N; 0,5447934656203933; W;0,47124510499759453 
Real Estate; 2989; Cozy Woods Cape; S; 0,05781922786479998; W; 0,9145589509065695; N; 0,35128440922678517; W;0,4854889168306018 
Real Estate; 40171; Emerald Timber Domain; S; 0,183466755475431; W; 0,7924645832646532; S; 0,1879807343274047; W;0,949633840124259 
Real Estate; 94854; Blooming Cliff Domain; S; 0,5369588257354745; W; 0,4104881047061276; S; 0,3695854187143619; E;0,5630990335426429 
Real Estate; 54493; Wildflower Path Peak; S; 0,26055919906071523; E; 0,2496079241288458; N; 0,11870752582488686; E;0,33284879258329614 
Real Estate; 33111; Wildflower Dales Woods; N; 0,3865977336562225; W; 0,11152292655311546; S; 0,40431039612342834; W;0,13469961542243347 
Real Estate; 90750; Peaceful Woods Lane; N; 0,559813075864043; E; 0,2430315824534125; N; 0,1720592797727596; E;0,696837004131804 
Real Estate; 33672; Soft Field Parkway; S; 0,9641799498597146; E; 0,2779527681439452; S; 0,5556832527503714; W;0,3285102224308125 
Real Estate; 22243; Crystal Shore Cross; S; 0,9703698538694069; E; 0,5481349423648615; S; 0,25281025869149143; E;0,7398079361488472 
Real Estate; 23091; Winter Crest Glade; S; 0,7289258720851024; E; 0,3762667254399972; N; 0,026023893100893813; W;0,11319295965544018 
Real Estate; 13317; Spring Wood Ponds; S; 0,8340096509682846; E; 0,47164683064891755; S; 0,4256663569939543; W;0,9462355175550246 
Real Estate; 28349; Hidden Glade Peak; S; 0,941058502252588; E; 0,9736346974729865; N; 0,9781955206011363; W;0,007801321435729758 
Real Estate; 57477; Rustic Creek Plateau; S; 0,7751966897719353; E; 0,9947945663462661; S; 0,44247941561988835; W;0,9755738063919382 
Real Estate; 34787; Enchanted Beach Lanes; S; 0,46880700453499313; E; 0,7284398687350194; N; 0,45981630186935585; W;0,9977541119007022 
Real Estate; 26443; Sparkling Slopes Run; S; 0,45685458335893625; E; 0,987970674069961; S; 0,2847112279138916; E;0,17339628236798588 
Real Estate; 56382; Highland Slopes Glade; S; 0,15734500186913558; E; 0,3000441312604316; S; 0,8668723792756134; E;0,9700435207299767 
Real Estate; 67499; Meadow Lakeview Grove; S; 0,1253627029204165; E; 0,5440349417712178; N; 0,28622897145735593; E;0,9476604583940208 
Real Estate; 44476; Open Springs Meadow; N; 0,21893115173715538; E; 0,4019700920132301; N; 0,10612121330515534; E;0,1476357336468992 
Real Estate; 26182; Quiet Cove Bridge; N; 0,44871528144347705; E; 0,6055413668933239; S; 0,047283941239177674; E;0,4259094436454629 
Real Estate; 18566; Lush Preserve Bayou; N; 0,26207366049946124; E; 0,7956576339770417; S; 0,1438931754759687; W;0,14953396926185447 
Real Estate; 87761; Moonlit Creek Dales; N; 0,3825014455797243; E; 0,9126471926560197; N; 0,10250186479921597; E;0,43281262437850276 
Real Estate; 44888; Blooming Valley Ridge; N; 0,46677310345267387; E; 0,7917463432343113; S; 0,3143312818513092; W;0,15682574059468357 
Real Estate; 87741; Velvet Terraces Park; N; 0,49901863730419116; E; 0,9943568925315834; N; 0,6840482932478322; W;0,012294604727667413 
Real Estate; 48967; Rustic Cove Woods; N; 0,7128214627450362; W; 0,9280825780481895; S; 0,3075040913066214; E;0,5543679651378496 
Real Estate; 74766; Sunset Lookout Pines; N; 0,6664544461407438; W; 0,8605152378255849; N; 0,8489334217027468; E;0,22541619484177589 
Real Estate; 92934; Sheltered Pines Preserve; N; 0,8675599623228568; W; 0,9876937003830979; S; 0,8655546846955096; E;0,4656965341451478 
Real Estate; 8196; Sheltered Preserve Peaks; N; 0,8369457101645511; W; 0,8702140662813387; N; 0,20481384021247706; W;0,6214749580488744 
Real Estate; 844; Starlit Grove Shores; N; 0,606794133482852; W; 0,3160289922559103; N; 0,7170808979868231; W;0,16590179818580708 
